signal,noise,seed,method,ss_mse_db
ECG,powerline,99,NLMS,-19.049614804372027
ECG,powerline,99,NLMS (mu=0.1),-13.645790689709965
ECG,powerline,99,VSS-LMS (Kwong),-8.955854557540768
ECG,powerline,99,Heuristic,-23.4709646165853
ECG,powerline,99,Meta-RL,-29.822366105265164
ECG,baseline_wander,99,NLMS,-34.605968163001684
ECG,baseline_wander,99,NLMS (mu=0.1),-30.8701071497623
ECG,baseline_wander,99,VSS-LMS (Kwong),-15.607981803037337
ECG,baseline_wander,99,Heuristic,-41.42944931343581
ECG,baseline_wander,99,Meta-RL,-35.12641030809078
ECG,impulsive,99,NLMS,-28.01191383856226
ECG,impulsive,99,NLMS (mu=0.1),-23.098423163311217
ECG,impulsive,99,VSS-LMS (Kwong),-18.164105682599413
ECG,impulsive,99,Heuristic,-27.945951986177384
ECG,impulsive,99,Meta-RL,-29.630598378229674
ECG,burst,99,NLMS,-38.79294345958787
ECG,burst,99,NLMS (mu=0.1),-30.06598065018168
ECG,burst,99,VSS-LMS (Kwong),-23.303710018463477
ECG,burst,99,Heuristic,-41.51103472335842
ECG,burst,99,Meta-RL,-42.68166946910463
ECG,regime_switch,99,NLMS,-38.07883712966169
ECG,regime_switch,99,NLMS (mu=0.1),-30.465450338740606
ECG,regime_switch,99,VSS-LMS (Kwong),-23.329638358067637
ECG,regime_switch,99,Heuristic,-40.02363237737399
ECG,regime_switch,99,Meta-RL,-37.96814815353304
ECG,gaussian,137,NLMS,-27.006462335609093
ECG,gaussian,137,NLMS (mu=0.1),-22.629521420201357
ECG,gaussian,137,VSS-LMS (Kwong),-20.171722964015167
ECG,gaussian,137,Heuristic,-27.12334530510433
ECG,gaussian,137,Meta-RL,-27.5472079119727
ECG,powerline,137,NLMS,-18.925614917929842
ECG,powerline,137,NLMS (mu=0.1),-16.248338600501825
ECG,powerline,137,VSS-LMS (Kwong),-7.561546210836893
ECG,powerline,137,Heuristic,-19.393246872240052
ECG,powerline,137,Meta-RL,-30.488993009077802
ECG,baseline_wander,137,NLMS,-29.20810781396561
ECG,baseline_wander,137,NLMS (mu=0.1),-32.81583099608203
ECG,baseline_wander,137,VSS-LMS (Kwong),-22.010020131265794
ECG,baseline_wander,137,Heuristic,-28.9698175658988
ECG,baseline_wander,137,Meta-RL,-35.20706878274681
ECG,impulsive,137,NLMS,-22.175016865440572
ECG,impulsive,137,NLMS (mu=0.1),-18.008258478992513
ECG,impulsive,137,VSS-LMS (Kwong),-15.990564327707684
ECG,impulsive,137,Heuristic,-13.518133299923525
ECG,impulsive,137,Meta-RL,-22.4490445719064
ECG,burst,137,NLMS,-49.89766429268661
ECG,burst,137,NLMS (mu=0.1),-41.603288541261236
ECG,burst,137,VSS-LMS (Kwong),-26.68952623421687
ECG,burst,137,Heuristic,-52.08436295476255
ECG,burst,137,Meta-RL,-44.60607664806475
ECG,regime_switch,137,NLMS,-42.84136580210067
ECG,regime_switch,137,NLMS (mu=0.1),-36.985399499022776
ECG,regime_switch,137,VSS-LMS (Kwong),-30.438765974454366
ECG,regime_switch,137,Heuristic,-43.71672952102241
ECG,regime_switch,137,Meta-RL,-39.245161200229916
ECG,gaussian,256,NLMS,-28.100169260920858
ECG,gaussian,256,NLMS (mu=0.1),-25.249537537772575
ECG,gaussian,256,VSS-LMS (Kwong),-20.616271417738865
ECG,gaussian,256,Heuristic,-28.63382745841521
ECG,gaussian,256,Meta-RL,-30.188943851451594
ECG,powerline,256,NLMS,-17.698818702076302
ECG,powerline,256,NLMS (mu=0.1),-14.774191373681294
ECG,powerline,256,VSS-LMS (Kwong),-8.661240112631415
ECG,powerline,256,Heuristic,-8.548209021881057
ECG,powerline,256,Meta-RL,-24.805841590967923
ECG,baseline_wander,256,NLMS,-34.473389981887344
ECG,baseline_wander,256,NLMS (mu=0.1),-29.49793342972918
ECG,baseline_wander,256,VSS-LMS (Kwong),-21.412388712583542
ECG,baseline_wander,256,Heuristic,-38.476570464934746
ECG,baseline_wander,256,Meta-RL,-35.94142566189349
ECG,impulsive,256,NLMS,-25.366511044011133
ECG,impulsive,256,NLMS (mu=0.1),-22.66927603356568
ECG,impulsive,256,VSS-LMS (Kwong),-18.442632550746254
ECG,impulsive,256,Heuristic,-25.608775648249228
ECG,impulsive,256,Meta-RL,-26.564087248519456
ECG,burst,256,NLMS,-49.113956412115485
ECG,burst,256,NLMS (mu=0.1),-43.227146248514984
ECG,burst,256,VSS-LMS (Kwong),-34.01008908092472
ECG,burst,256,Heuristic,-50.76627922260342
ECG,burst,256,Meta-RL,-41.19004146992271
ECG,regime_switch,256,NLMS,-42.73630194066761
ECG,regime_switch,256,NLMS (mu=0.1),-39.574553255870555
ECG,regime_switch,256,VSS-LMS (Kwong),-33.58622717501927
ECG,regime_switch,256,Heuristic,-43.363561132630714
ECG,regime_switch,256,Meta-RL,-38.83515579278014
